"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU_EEA31","EU/EEA",60.617209000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2007","EU28","EU",60.640458000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2007","UK","United Kingdom",94.949161270,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU_EEA31","EU/EEA",58.339476000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2008","EU28","EU",58.328782000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2008","UK","United Kingdom",90.322748240,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2009","EU_EEA31","EU/EEA",58.572529000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2009","EU28","EU",58.595753000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2009","UK","United Kingdom",104.243956550,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2010","EU_EEA31","EU/EEA",62.321114000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2010","EU28","EU",62.450834000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2010","UK","United Kingdom",112.377458100,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2011","EU_EEA31","EU/EEA",65.601187000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2011","EU28","EU",65.682890000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2011","UK","United Kingdom",114.222477970,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2012","EU_EEA31","EU/EEA",61.617356000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2012","EU28","EU",61.688386000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2012","UK","United Kingdom",113.689967240,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2013","EU_EEA31","EU/EEA",60.886857000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2013","EU28","EU",60.846231000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2013","UK","United Kingdom",103.433267630,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2014","EU_EEA31","EU/EEA",66.716084000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2014","EU28","EU",66.735525000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2014","UK","United Kingdom",103.154932030,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2015","EU_EEA31","EU/EEA",63.328748000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2015","EU28","EU",63.585243000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2015","UK","United Kingdom",92.576704570,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2016","EU_EEA31","EU/EEA",67.273671000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2016","EU28","EU",67.583104000,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2016","UK","United Kingdom",91.080747440,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2017","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2017","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Age-standardised rate","N/100000","2017","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007","EU_EEA31","EU/EEA",0.014578000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007","EU28","EU",0.014832000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-01","EU_EEA31","EU/EEA",0.013861000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-01","EU28","EU",0.014005000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-01","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-02","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-02","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-02","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-03","EU_EEA31","EU/EEA",0.013599000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-03","EU28","EU",0.013758000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-03","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-04","EU_EEA31","EU/EEA",0.026578000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-04","EU28","EU",0.026932000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-04","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-05","EU_EEA31","EU/EEA",0.029403000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-05","EU28","EU",0.029913000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-05","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-06","EU_EEA31","EU/EEA",0.014772000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-06","EU28","EU",0.015018000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-06","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-07","EU_EEA31","EU/EEA",0.007028000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-07","EU28","EU",0.007242000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-07","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-08","EU_EEA31","EU/EEA",0.015167000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-08","EU28","EU",0.015533000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-08","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-09","EU_EEA31","EU/EEA",0.008988000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-09","EU28","EU",0.009142000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-09","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-10","EU_EEA31","EU/EEA",0.009406000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-10","EU28","EU",0.009546000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-10","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-11","EU_EEA31","EU/EEA",0.032051000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-11","EU28","EU",0.032446000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-11","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-12","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-12","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2007-12","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008","EU_EEA31","EU/EEA",0.028355000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008","EU28","EU",0.028901000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-01","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-01","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-01","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-02","EU_EEA31","EU/EEA",0.018070000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-02","EU28","EU",0.018304000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-02","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-03","EU_EEA31","EU/EEA",0.019462000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-03","EU28","EU",0.019790000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-03","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-04","EU_EEA31","EU/EEA",0.077459000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-04","EU28","EU",0.078653000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-04","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-05","EU_EEA31","EU/EEA",0.020913000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-05","EU28","EU",0.021238000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-05","UK","United Kingdom",-,""
